time_ns,x,y,theta,omega,lateral_error
100,0.0,0.0,0.0,0.0,0.0
1000100,0.0,-0.46444323017138545,0.001943578132673096,0.0,-0.46444323017138545
2000100,0.0009999981112526156,-0.4644412865944764,0.001943578132673096,3.0,-0.4644412865944764
3000100,0.0019999962225052312,-0.4644393430175674,0.004943578132673096,0.23202628560633573,-0.4644393430175674
4000100,0.0029999840030477403,-0.4644343994595707,0.005175604418279431,0.23202531381788122,-0.4644343994595707
5000100,0.00399997060963709,-0.4644292238782588,0.005407629732097312,0.23172284393011697,-0.4644292238782588
6000100,0.00499995598844306,-0.46442381627488205,0.005639352576027429,0.23169705380793826,-0.46442381627488205
7000100,0.005999940087336463,-0.4644181769521967,0.005871049629835368,0.231671147799766,-0.4644181769521967
8000100,0.0069999228527740905,-0.46441230593629523,0.006102720777635133,0.2316451562075659,-0.46441230593629523
9000100,0.007999904231231439,-0.4644062032533983,0.006334365933842699,0.23161905137799832,-0.4644062032533983
10000100,0.008999884169202627,-0.4643998689298246,0.006565984985220697,0.2315928333370078,-0.4643998689298246
11000100,0.009999862613200659,-0.46439330299201825,0.006797577818557705,0.2315665021075403,-0.46439330299201825
12000100,0.010999839509757522,-0.4643865054665489,0.007029144320665245,0.23154005771537448,-0.4643865054665489
13000100,0.0119998148054243,-0.4643794763801118,0.00726068437838062,0.2315135001863407,-0.4643794763801118
14000100,0.012999788446771276,-0.4643722157595275,0.00749219787856696,0.2314868295463432,-0.4643722157595275
15000100,0.013999760380388039,-0.464364723631742,0.007723684708113305,0.23146004582133223,-0.464364723631742
16000100,0.014999730552883585,-0.4643570000238268,0.007955144753934638,0.23143314903732634,-0.4643570000238268
17000100,0.01599969891088643,-0.4643490449629786,0.008186577902971963,0.23140613922039008,-0.4643490449629786
18000100,0.0169996654010447,-0.46434085847651946,0.008417984042192354,0.23137901639666736,-0.46434085847651946
19000100,0.017999629970026264,-0.46433244059189677,0.008649363058589021,0.2313517805923481,-0.46433244059189677
20000100,0.018999592564518802,-0.46432379133668306,0.008880714839181372,0.23132443183367926,-0.46432379133668306
21000100,0.019999553131229943,-0.4643149107385761,0.009112039271015051,0.23129697014697045,-0.4643149107385761
22000100,0.02099951161688735,-0.4643057988253989,0.009343336241162022,0.23126939555859388,-0.4643057988253989
23000100,0.021999467968238828,-0.46429645562509947,0.009574605636720615,0.2312417080949788,-0.46429645562509947
24000100,0.02299942213205244,-0.464286881165751,0.009805847344815594,0.23121390778260587,-0.464286881165751
25000100,0.023999374055116603,-0.46427707547555175,0.010037061252598201,0.23118599464802947,-0.46427707547555175
26000100,0.024999323684240186,-0.4642670385828249,0.01026824724724623,0.23115796871784983,-0.4642670385828249
27000100,0.025999270966252624,-0.46425677051601877,0.01049940521596408,0.23112983001872967,-0.46425677051601877
28000100,0.026999215848004025,-0.46424627130370644,0.010730535045982809,0.23110157857739422,-0.46424627130370644
29000100,0.027999158276365264,-0.4642355409745861,0.010961636624560202,0.23107321442062007,-0.4642355409745861
30000100,0.02899909819822809,-0.46422457955748064,0.011192709838980823,0.2310447375752574,-0.46422457955748064
31000100,0.029999035560505247,-0.4642133870813379,0.01142375457655608,0.2310161480681966,-0.4642133870813379
32000100,0.030998970310130547,-0.4642019635752305,0.011654770724624279,0.230987445926396,-0.4642019635752305
33000100,0.031998902394059,-0.46419030906835584,0.011885758170550676,0.2309586311768764,-0.46419030906835584
34000100,0.03299883175926692,-0.46417842359003597,0.01211671680172755,0.23092970384670983,-0.46417842359003597
35000100,0.033998758352752,-0.4641663071697177,0.01234764650557426,0.2309006639630307,-0.4641663071697177
36000100,0.03499868212153344,-0.46415395983697244,0.012578547169537291,0.23087151155303018,-0.46415395983697244
37000100,0.03599860301265205,-0.46414138162149626,0.012809418681090319,0.23084224664396183,-0.46414138162149626
38000100,0.03699852097317035,-0.4641285725531098,0.013040260927734281,0.23081286926313035,-0.4641285725531098
39000100,0.03799843595017267,-0.4641155326617582,0.013271073796997412,0.23078337943790833,-0.4641155326617582
40000100,0.03899834789076524,-0.46410226197751114,0.013501857176435319,0.2307537771957195,-0.46410226197751114
41000100,0.03999825674207635,-0.46408876053056275,0.013732610953631038,0.23072406256404981,-0.46408876053056275
42000100,0.04099816245125638,-0.46407502835123154,0.013963335016195089,0.23069423557044197,-0.46407502835123154
43000100,0.04199806496547794,-0.4640610654699605,0.014194029251765532,0.23066429624249526,-0.4640610654699605
44000100,0.042997964231936,-0.4640468719173169,0.014424693548008028,0.2306342446078768,-0.4640468719173169
45000100,0.04399786019784792,-0.4640324477239923,0.014655327792615904,0.23060408069429914,-0.4640324477239923
46000100,0.04499775281045363,-0.46401779292080264,0.014885931873310203,0.23057380452953702,-0.46401779292080264
47000100,0.045997642017015686,-0.4640029075386879,0.015116505677839738,0.2305434161414329,-0.4640029075386879
48000100,0.04699752776481939,-0.46398779160871245,0.015347049093981172,0.23051291555786907,-0.46398779160871245
49000100,0.0479974100011729,-0.4639724451620647,0.015577562009539043,0.23048230280681223,-0.4639724451620647
50000100,0.0489972886734073,-0.4639568682300572,0.015808044312345854,0.23045157791625775,-0.4639568682300572
51000100,0.049997163728876755,-0.46394106084412656,0.01603849589026211,0.23042074091427978,-0.46394106084412656
52000100,0.05099703511495856,-0.46392502303583344,0.01626891663117639,0.23038979182899777,-0.46392502303583344
53000100,0.051996902779053285,-0.46390875483686256,0.01649930642300539,0.23035873068860438,-0.46390875483686256
54000100,0.052996766668584855,-0.4638922562790225,0.016729665153693993,0.23032755752134315,-0.4638922562790225
55000100,0.053996626731000655,-0.4638755273942457,0.016959992711215333,0.2302962723555029,-0.4638755273942457
56000100,0.054996482913771634,-0.46385856821458865,0.017190288983570837,0.23026487521944553,-0.46385856821458865
57000100,0.055996335164392425,-0.4638413787722316,0.017420553858790284,0.23023336614158932,-0.4638413787722316
58000100,0.05699618343038141,-0.46382395909947854,0.017650787224931873,0.23020174515040895,-0.46382395909947854
59000100,0.05799602765928085,-0.4638063092287573,0.017880988970082282,0.23017001227443543,-0.4638063092287573
60000100,0.058995867798656995,-0.4637884291926194,0.01811115898235672,0.23013816754225608,-0.4637884291926194
61000100,0.059995703796100155,-0.46377031902374,0.01834129714989897,0.2301062109825201,-0.46377031902374
62000100,0.060995535599224826,-0.4637519787549179,0.01857140336088149,0.2300741426239274,-0.4637519787549179
63000100,0.06199536315566979,-0.46373340841907557,0.01880147750350542,0.23004196249525083,-0.46373340841907557
64000100,0.0629951864130982,-0.46371460804925896,0.01903151946600067,0.23000967062530284,-0.46371460804925896
65000100,0.0639950053191977,-0.4636955776786375,0.01926152913662597,0.22997726704296875,-0.4636955776786375
66000100,0.06499481982168054,-0.46367631734050424,0.01949150640366894,0.2299447517771734,-0.46367631734050424
67000100,0.06599462986828361,-0.4636568270682755,0.019721451155446115,0.22991212485692566,-0.4636568270682755
68000100,0.06699443540676865,-0.46363710689549104,0.01995136328030304,0.2298793863112627,-0.46363710689549104
69000100,0.06799423638492225,-0.463617156855814,0.020181242666614307,0.2298465361693001,-0.463617156855814
70000100,0.068994032750556,-0.4635969769830308,0.02041108920278361,0.22981357446020398,-0.4635969769830308
71000100,0.06999382445150659,-0.46357656731105124,0.020640902777243814,0.2297805012131966,-0.46357656731105124
72000100,0.07099361143563591,-0.4635559278739081,0.020870683278457015,0.2297473164575674,-0.4635559278739081
73000100,0.07199339365083116,-0.4635350587057575,0.021100430594914583,0.22971402022263965,-0.4635350587057575
74000100,0.0729931710450049,-0.4635139598408788,0.02133014461513722,0.2296806125378204,-0.4635139598408788
75000100,0.07399294356609522,-0.4634926313136742,0.02155982522767504,0.22964709343256726,-0.4634926313136742
76000100,0.0749927111620658,-0.46347107315866914,0.021789472321107606,0.22961346293637705,-0.46347107315866914
77000100,0.07599247378090601,-0.46344928541051206,0.022019085784043983,0.22957972107883043,-0.46344928541051206
78000100,0.07699223137063105,-0.46342726810397433,0.022248665505122812,0.2295458678895473,-0.46342726810397433
79000100,0.07799198387928201,-0.4634050212739502,0.02247821137301236,0.22951190339821467,-0.4634050212739502
80000100,0.07899173125492598,-0.463382544955457,0.022707723276410574,0.22947782763456426,-0.463382544955457
81000100,0.07999147344565614,-0.46335983918363466,0.022937201104045138,0.22944364062840597,-0.46335983918363466
82000100,0.08099121039959191,-0.46333690399374605,0.023166644744673545,0.22940934240958333,-0.46333690399374605
83000100,0.08199094206487899,-0.46331373942117676,0.02339605408708313,0.22937493300801237,-0.46331373942117676
84000100,0.08299066838968949,-0.4632903455014351,0.02362542902009114,0.2293404124536594,-0.4632903455014351
85000100,0.08399038932222204,-0.46326672227015214,0.0238547694325448,0.22930578077655211,-0.46326672227015214
86000100,0.08499010481070186,-0.46324286976308143,0.024084075213321354,0.22927103800677953,-0.46324286976308143
87000100,0.08598981480338089,-0.46321878801609917,0.024313346251328135,0.22923618417446975,-0.46321878801609917
88000100,0.08698951924853784,-0.4631944770652041,0.024542582435502603,0.2292012193098233,-0.4631944770652041
89000100,0.08798921809447839,-0.46316993694651754,0.024771783654812425,0.22916614344309638,-0.46316993694651754
90000100,0.08898891128953516,-0.4631451676962831,0.02500094979825552,0.22913095660460098,-0.4631451676962831
91000100,0.08998859878206793,-0.463120169350867,0.02523008075486012,0.22909565882469912,-0.463120169350867
92000100,0.09098828052046365,-0.46309494194675754,0.025459176413684816,0.22906025013381964,-0.46309494194675754
93000100,0.09198795645313661,-0.4630694855205657,0.025688236663818635,0.22902473056243586,-0.4630694855205657
94000100,0.09298762652852846,-0.4630438001090245,0.02591726139438107,0.22898910014109897,-0.4630438001090245
95000100,0.0939872906951084,-0.4630178857489893,0.02614625049452217,0.2289533589003935,-0.4630178857489893
96000100,0.09498694890137321,-0.4629917424774375,0.02637520385342256,0.22891750687097068,-0.4629917424774375
97000100,0.09598660109584738,-0.4629653703314689,0.026604121360293533,0.2288815440835428,-0.4629653703314689
98000100,0.09698624722708318,-0.46293876934830513,0.026833002904377075,0.22884547056887217,-0.46293876934830513
99000100,0.09798588724366084,-0.4629119395652901,0.02706184837494595,0.22880928635777653,-0.4629119395652901
100000100,0.09898552109418852,-0.4628848810198896,0.027290657661303726,0.22877299148114028,-0.4628848810198896
101000100,0.09998514872730255,-0.4628575937496915,0.02751943065278487,0.22873658596989768,-0.4628575937496915
102000100,0.1009847700916674,-0.4628300777924054,0.027748167238754767,0.22870006985503288,-0.4628300777924054
103000100,0.10198438513597585,-0.462802333185863,0.0279768673086098,0.22866344316759654,-0.462802333185863
104000100,0.10298399380894913,-0.4627743599680177,0.0282055307517774,0.22862670593868914,-0.4627743599680177
105000100,0.10398359605933688,-0.4627461581769447,0.028434157457716092,0.22858985819947766,-0.4627461581769447
106000100,0.10498319183591741,-0.46271772785084103,0.02866274731591557,0.2285528999811733,-0.46271772785084103
107000100,0.10598278108749769,-0.4626890690280253,0.028891300215896743,0.22851583131505374,-0.4626890690280253
108000100,0.10698236376291347,-0.46266018174693785,0.029119816047211797,0.22847865223244074,-0.46266018174693785
109000100,0.10798193981102941,-0.46263106604614057,0.02934829469944424,0.22844136276472252,-0.46263106604614057
110000100,0.10898150918073915,-0.462601721964317,0.029576736062208966,0.22840396294334253,-0.462601721964317
111000100,0.10998107182096542,-0.46257214954027204,0.029805140025152308,0.22836645279979947,-0.46257214954027204
112000100,0.11098062768066012,-0.4625423488129322,0.030033506477952106,0.22832883236564167,-0.4625423488129322
113000100,0.11198017670880446,-0.4625123198213454,0.030261835310317748,0.22829110167248373,-0.4625123198213454
114000100,0.112979718854409,-0.46248206260468083,0.030490126411990233,0.2282532607519899,-0.46248206260468083
115000100,0.11397925406651378,-0.4624515772022291,0.030718379672742224,0.2282153096358851,-0.4624515772022291
116000100,0.11497878229418844,-0.4624208636534021,0.03094659498237811,0.2281772483559438,-0.4624208636534021
117000100,0.11597830348653228,-0.462389921997733,0.031174772230734053,0.22813907694400112,-0.462389921997733
118000100,0.11697781759267437,-0.46235875227487594,0.031402911307678055,0.22810079543195283,-0.46235875227487594
119000100,0.11797732456177364,-0.46232735452460644,0.03163101210311001,0.22806240385173301,-0.46232735452460644
120000100,0.118976824343019,-0.46229572878682107,0.03185907450696174,0.22802390223535304,-0.46229572878682107
121000100,0.11997631688562942,-0.4622638751015374,0.03208709840919709,0.22798529061487374,-0.4622638751015374
122000100,0.12097580213885402,-0.46223179350889393,0.03231508369981196,0.22794656902239976,-0.46223179350889393
123000100,0.1219752800519722,-0.4621994840491503,0.03254303026883436,0.22790773749010182,-0.4621994840491503
124000100,0.12297475057429369,-0.46216694676268694,0.03277093800632446,0.22786879605021113,-0.46216694676268694
125000100,0.12397421365515869,-0.46213418169000514,0.03299880680237467,0.22782974473500825,-0.46213418169000514
126000100,0.12497366924393793,-0.462101188871727,0.03322663654710968,0.22779058357682305,-0.462101188871727
127000100,0.1259731172900328,-0.4620679683485955,0.033454427130686505,0.22775131260805137,-0.4620679683485955
128000100,0.12697255774287544,-0.4620345201614741,0.03368217844329456,0.22771193186114388,-0.4620345201614741
129000100,0.12797199055192882,-0.4620008443513472,0.033909890375155696,0.22767244136860051,-0.4620008443513472
130000100,0.1289714156666868,-0.4619669409593196,0.034137562816524296,0.22763284116298152,-0.4619669409593196
131000100,0.12997083303667434,-0.46193281002661685,0.03436519565768728,0.22759313127690192,-0.46193281002661685
132000100,0.13097024261144752,-0.46189845159458487,0.034592788788964185,0.22755331174303148,-0.46189845159458487
133000100,0.1319696443405936,-0.4618638657046902,0.03482034210070722,0.22751338259409465,-0.4618638657046902
134000100,0.1329690381737312,-0.4618290523985197,0.03504785548330131,0.22747334386287615,-0.4618290523985197
135000100,0.13396842406051035,-0.4617940117177806,0.035275328827164186,0.2274331955822098,-0.4617940117177806
136000100,0.1349678019506126,-0.46175874370430064,0.035502762022746395,0.22739293778498407,-0.46175874370430064
137000100,0.13596717179375103,-0.4617232484000276,0.03573015496053138,0.2273525705041531,-0.4617232484000276
138000100,0.13696653353967056,-0.46168752584702966,0.03595750753103553,0.22731209377270903,-0.46168752584702966
139000100,0.1379658871381478,-0.4616515760874951,0.03618481962480824,0.22727150762372073,-0.4616515760874951
140000100,0.13896523253899132,-0.46161539916373234,0.03641209113243196,0.2272308120902894,-0.46161539916373234
141000100,0.13996456969204163,-0.46157899511817,0.036639321944522255,0.227190007205593,-0.46157899511817
142000100,0.14096389854717137,-0.46154236399335663,0.03686651195172785,0.22714909300285285,-0.46154236399335663
143000100,0.14196321905428533,-0.46150550583196076,0.0370936610447307,0.2271080695153392,-0.46150550583196076
144000100,0.1429625311633206,-0.4614684206767709,0.03732076911424604,0.22706693677639342,-0.4614684206767709
145000100,0.14396183482424665,-0.46143110857069547,0.03754783605102243,0.22702569481940013,-0.46143110857069547
146000100,0.1449611299870654,-0.4613935695567627,0.03777486174584183,0.22698434367780396,-0.4613935695567627
147000100,0.14596041660181133,-0.46135580367812057,0.038001846089519634,0.22694288338510388,-0.46135580367812057
148000100,0.1469596946185516,-0.46131781097803687,0.038228788972904736,0.22690131397484764,-0.46131781097803687
149000100,0.1479589639873861,-0.4612795914998991,0.038455690286879576,0.22685963548064844,-0.4612795914998991
150000100,0.14895822465844755,-0.4612411452872143,0.038682549922360226,0.2268178479361738,-0.4612411452872143
151000100,0.14995747658190167,-0.46120247238360923,0.0389093677702964,0.22677595137512876,-0.46120247238360923
152000100,0.15095671970794716,-0.46116357283283005,0.03913614372167153,0.22673394583129491,-0.46116357283283005
153000100,0.15195595398681588,-0.4611244466787425,0.03936287766750283,0.2266918313384969,-0.4611244466787425
154000100,0.15295517936877293,-0.4610850939653317,0.03958956949884133,0.2266496079306136,-0.4610850939653317
155000100,0.15395439580411668,-0.46104551473670224,0.03981621910677194,0.2266072756415891,-0.46104551473670224
156000100,0.15495360324317897,-0.461005709037078,0.04004282638241353,0.22656483450540507,-0.461005709037078
157000100,0.1559528016363251,-0.46096567691080215,0.04026939121691893,0.22652228455611387,-0.46096567691080215
158000100,0.156951990933954,-0.46092541840233714,0.040495913501475043,0.22647962582781644,-0.46092541840233714
159000100,0.15795117108649834,-0.46088493355626453,0.04072239312730286,0.2264368583546678,-0.46088493355626453
160000100,0.15895034204442446,-0.46084422241728507,0.040948829985657534,0.22639398217087145,-0.46084422241728507
161000100,0.15994950375823266,-0.46080328503021856,0.041175223967828405,0.22635099731069597,-0.46080328503021856
162000100,0.16094865617845724,-0.4607621214400039,0.0414015749651391,0.22630790380845842,-0.4607621214400039
163000100,0.16194779925566655,-0.46072073169169886,0.04162788286894756,0.22626470169853538,-0.46072073169169886
164000100,0.16294693294046306,-0.46067911583048027,0.041854147570646094,0.22622139101534625,-0.46067911583048027
165000100,0.16394605718348354,-0.4606372739016437,0.04208036896166144,0.226177971793381,-0.4606372739016437
166000100,0.1649451719353991,-0.4605952059506037,0.04230654693345482,0.22613444406716685,-0.4605952059506037
167000100,0.1659442771469153,-0.46055291202289345,0.04253268137752199,0.2260908078713015,-0.46055291202289345
168000100,0.16694337276877222,-0.46051039216416495,0.04275877218539329,0.22604706324041987,-0.46051039216416495
169000100,0.16794245875174463,-0.46046764642018884,0.04298481924863371,0.2260032102092329,-0.46046764642018884
170000100,0.16894153504664194,-0.46042467483685434,0.043210822458842946,0.22595924881248305,-0.46042467483685434
171000100,0.1699406016043084,-0.46038147746016933,0.043436781707655435,0.2259151790849777,-0.46038147746016933
172000100,0.17093965837562322,-0.4603380543362601,0.04366269688674041,0.22587100106158353,-0.4603380543362601
173000100,0.17193870531150054,-0.4602944055113716,0.043888567887801995,0.22582671477720975,-0.4602944055113716
174000100,0.1729377423628896,-0.46025053103186686,0.0441143946025792,0.22578232026683043,-0.46025053103186686
175000100,0.1739367694807749,-0.46020643094422753,0.04434017692284603,0.22573781756546213,-0.46020643094422753
176000100,0.17493578661617615,-0.4601621052950535,0.044565914740411494,0.2256932067081806,-0.4601621052950535
177000100,0.17593479372014842,-0.4601175541310629,0.04479160794711967,0.22564848773012636,-0.4601175541310629
178000100,0.1769337907437823,-0.4600727774990921,0.0450172564348498,0.2256036606664712,-0.4600727774990921
179000100,0.1779327776382039,-0.46002777544609547,0.04524286009551627,0.22555872555246273,-0.46002777544609547
