time_ns,x,y,theta,omega,y_ref,error
40100,0.000995004165278026,0.5000998334166469,0.09999999999999999,0.0,0.0,0.5000998334166469
1040100,0.001990008330556052,0.5001996668332938,0.09699999999999999,-3.0,9.950041587107777e-05,0.5001001664174227
2040100,0.0029853075181193824,0.5002965147926722,0.09599973283357721,-1.0002671664227731,0.00019900082780180658,0.5000975139648705
3040100,0.003980703081584961,0.5003923671386687,0.09499941499910826,-1.0003178344689523,0.00029853073407511014,0.5000938364045936
4040100,0.004976194029831564,0.5004872237249403,0.09400056000454018,-0.9988549945680785,0.000398070266106358,0.5000891534588339
5040100,0.005971779229431134,0.5005810859129516,0.09300216500448442,-0.9983950000557598,0.0004976193208344674,0.5000834665921171
6040100,0.006967457644358414,0.5006739540670622,0.09200423203161609,-0.9979329728683282,0.000597177780965477,0.5000767762860967
7040100,0.007963228239680228,0.5007658285547747,0.0910067623547327,-0.9974696768833897,0.0006967455389435443,0.5000690830158312
8040100,0.008959089981633596,0.5008567097459729,0.09000975774521013,-0.9970046095225822,0.0007963224873199161,0.500060387258653
9040100,0.009955041837586193,0.5009465980134196,0.08901321997205641,-0.9965377731536971,0.0008959085187607799,0.5000506894946588
10040100,0.010951082776044193,0.5010354937327525,0.0880171508022925,-0.9960691697639141,0.0009955035260433515,0.5000399902067091
11040100,0.011947211766660047,0.5011233972824797,0.08702155200069539,-0.995598801597102,0.0010951074020566986,0.500028289880423
12040100,0.012943427780240267,0.5012103090439757,0.08602642532979533,-0.9951266709000668,0.0011947200398025604,0.5000155890041731
13040100,0.013939729788753184,0.5012962294014769,0.0850317725498727,-0.9946527799226528,0.0012943413323961645,0.5000018880690807
14040100,0.01493611676533669,0.5013811587420771,0.0840375954189549,-0.9941771309177887,0.0013939711730670459,0.49998718756901006
15040100,0.015932587684305947,0.5014650974557232,0.0830438956928137,-0.9936997261411997,0.0014936094551598576,0.49997148800056335
16040100,0.01692914152116108,0.5015480459352109,0.08205067512496199,-0.9932205678517025,0.0015932560721351853,0.4999547898630757
17040100,0.017925777252594862,0.5016300045761797,0.08105793546665113,-0.9927396583108625,0.0016929109175703554,0.49993709365860933
18040100,0.01892249385650033,0.501710973777109,0.08006567846686781,-0.9922569997833157,0.0017925738851602424,0.4999183998919488
19040100,0.019919290311978442,0.5017909539393136,0.07907390587233144,-0.9917725945363711,0.0018922448687180733,0.4998987090705955
20040100,0.020916165599345653,0.5018699454669386,0.07808261942749113,-0.9912864448403045,0.001991923762176231,0.4998780217047624
21040100,0.021913118700141513,0.5019479487669555,0.07709182087452285,-0.9907985529682659,0.0020916104595870527,0.4998563383073684
22040100,0.022910148597136207,0.5020249642491571,0.07610151195332678,-0.9903089211960743,0.0021913048551236293,0.49983365939403346
23040100,0.023907254274338097,0.5021009923261535,0.0751116944015243,-0.9898175518024572,0.0022910068430806,0.49980998548307287
24040100,0.02490443471700123,0.5021760334133668,0.0741223699544554,-0.9893244470689015,0.002390716317874946,0.49978531709549184
25040100,0.02590168891163281,0.5022500879290274,0.07313354034517586,-0.9888296092795594,0.00249043317404678,0.4997596547549806
26040100,0.026899015846000688,0.5023231562941682,0.07214520730445442,-0.9883330407214326,0.0025901573062601336,0.49973299898790813
27040100,0.02789641450914078,0.5023952389326213,0.07115737256077018,-0.9878347436842507,0.0026898886093037477,0.49970535032331753
