time_ns,x,y,theta,omega,y_ref,error
40100,0.000995004165278026,0.5000998334166469,0.09999999999999999,0.0,0.0,0.5000998334166469
1040100,0.001990008330556052,0.5001996668332938,0.09699999999999999,-3.0,9.950041587107777e-05,0.5001001664174227
2040100,0.0029853075181193824,0.5002965147926722,0.09449946533415365,-2.500534665846322,0.00019900082780180658,0.5000975139648705
3040100,0.003980845765471222,0.5003908736717437,0.09199882899921026,-2.5006363349433967,0.00029853073407511014,0.5000923429376686
4040100,0.004976616857179337,0.5004827427792741,0.08950112102601551,-2.497707973194754,0.00039808453449046203,0.5000846582447837
5040100,0.005972614304771408,0.5005721244574306,0.08700585200331869,-2.4952690226968306,0.0004976616035483023,0.5000744628538824
6040100,0.006968831682743276,0.5006590205783271,0.08451303456359688,-2.492817439721812,0.0005972612884399351,0.5000617592898872
7040100,0.00796526258134149,0.5007434330437499,0.08202267826414374,-2.490356299453144,0.0006968829426485976,0.5000465501011013
8040100,0.00896190060696934,0.5008253637820147,0.07953479312650662,-2.487885137637121,0.000796525921227969,0.5000288378607868
9040100,0.009958739382272912,0.5009048147483478,0.07704938913189835,-2.485403994608265,0.0008961895808430214,0.5000086251675048
10040100,0.010955772546271173,0.5009817879247641,0.07456647622425566,-2.4829129076426932,0.0009958732797788767,0.4999859146449852
11040100,0.011952993754484716,0.5010562853199476,0.0720860643097402,-2.480411914515474,0.0010955763779540624,0.49996070894199357
12040100,0.012950396679063513,0.5011283089691309,0.06960816325674728,-2.4779010529929195,0.0011952982369336348,0.4999330107321972
13040100,0.013947975008913595,0.5011978609339739,0.06713278289591319,-2.475380360834088,0.0012950382199422015,0.4999028227140317
14040100,0.014945722449822677,0.5012649433024426,0.0646599330201233,-2.4728498757899025,0.0013947956918768357,0.4998701476105658
15040100,0.015943632724584718,0.5013295581886869,0.06218962338452209,-2.470309635601208,0.0014945700193198846,0.49983498816936694
16040100,0.016941699573123407,0.5013917077329173,0.059721863706523826,-2.4677596779982713,0.0015943605705516708,0.4997973471623656
17040100,0.017939916752614606,0.5014513941012826,0.057256663665824215,-2.465200040699612,0.0016941667155630834,0.4997572273857195
18040100,0.018938278037607698,0.5015086194857457,0.054794032904413724,-2.4626307614104963,0.0017939878260680674,0.4997146316596776
19040100,0.019936777220145894,0.5015633861039592,0.05233398102659134,-2.4600518778223783,0.0018938232755160002,0.4996695628284432
20040100,0.020935408109885444,0.5016156961991417,0.049876517598979896,-2.4574634276114433,0.001993672439103963,0.4996220237600377
21040100,0.021934164534213794,0.5016655520399514,0.047421652150542074,-2.4548654484378227,0.002093534693788905,0.4995720173461625
22040100,0.02293304033836667,0.5017129559203617,0.04496939417259754,-2.452257977944525,0.002193409418299694,0.499519546502062
23040100,0.023932029385544083,0.5017579101595341,0.042519753118841576,-2.4496410537559754,0.002293295993149068,0.499464614166385
24040100,0.024931125557025265,0.5018004171016924,0.040072738405363906,-2.447014713477669,0.0023931938006454727,0.499407223301047
25040100,0.025930322752282523,0.5018404791159956,0.03762835941066942,-2.444378994694486,0.0024931022249047893,0.4993473768910908
26040100,0.026929614889094036,0.5018780985964104,0.03518662547569948,-2.441733934969946,0.002593020651861958,0.49928507794454846
27040100,0.027928995903655558,0.5019132779615836,0.03274754590385412,-2.439079571845361,0.0026929484692824923,0.4992203294923011
