time_ns,x,y,theta,omega
40100,0.0009889869356398187,-0.46427908950737207,0.14854856805438982,0.0
1040100,0.0019779738712796375,-0.4641310866657312,0.15154856805438982,3.0
2040100,0.0029665123486226734,-0.4639801175337462,0.15240321768320234,0.8546496288125055
3040100,0.003954921439241728,-0.4638283036029572,0.15325761771944021,0.8544000362378904
4040100,0.004943200459279587,-0.4636756452309201,0.1541102790702538,0.8526613508135805
5040100,0.005931348954184595,-0.4635221442471546,0.15496226077663416,0.8519817063803792
6040100,0.006919366310440297,-0.46336780143476125,0.15581356131321095,0.8513005365767814
7040100,0.007907251916578569,-0.46321261757869103,0.15666417989417042,0.8506185809594796
8040100,0.008895005163068053,-0.4630565934650115,0.1575141152119713,0.8499353178009053
9040100,0.009882625442397324,-0.4628997298814187,0.15836336596148343,0.8492507495120881
10040100,0.01087011214907757,-0.4627420276172314,0.15921193083962284,0.8485648781394132
11040100,0.011857464679645302,-0.46258348746338546,0.16005980854561147,0.8478777059885909
12040100,0.012844682432665021,-0.4624241102124282,0.1609069977809772,0.8471892353657139
13040100,0.013831764808731838,-0.46226389665851253,0.16175349724955465,0.8464994685774683
14040100,0.014818711210474084,-0.4621028475973913,0.16259930565748554,0.8458084079308998
15040100,0.015805521042555896,-0.4619409638264114,0.1634444217132191,0.845116055733542
16040100,0.016792193711679768,-0.4617782461445082,0.16428884412751238,0.8444224142932655
17040100,0.017778728626589104,-0.4616146953521994,0.16513257161343076,0.8437274859183777
18040100,0.01876512519807072,-0.4614503122515798,0.16597560288634824,0.8430312729175006
19040100,0.019751382838957336,-0.4612850976463151,0.1668179366639479,0.8423337775996425
20040100,0.02073750096413005,-0.46111905234163636,0.1676595716662221,0.8416350022742146
21040100,0.02172347899052077,-0.4609521771443341,0.16850050661547303,0.8409349492509087
22040100,0.022709316337114656,-0.4607844728627527,0.16934074023631282,0.8402336208397684
23040100,0.02369501242495249,-0.4606159403067845,0.17018027125566396,0.8395310193511231
24040100,0.024680566677133083,-0.460446580287864,0.1710190984027596,0.8388271470956592
25040100,0.0256659785188156,-0.4602763936189623,0.17185722040914395,0.8381220063843537
26040100,0.026651247377221902,-0.46010538111458105,0.17269463600867235,0.8374155995284073
27040100,0.027636372681638852,-0.459933543590747,0.17353134393751168,0.8367079288393433
28040100,0.028621353863420594,-0.4597608818650061,0.17436734293414063,0.8359989966289417
29040100,0.029606190355990818,-0.4595873967564175,0.17520263173934986,0.8352888052092275
30040100,0.030590881594844986,-0.45941308908554834,0.17603720909624235,0.834577356892487
31040100,0.03157542701755257,-0.4592379596744674,0.17687107375023353,0.8338646539911727
32040100,0.0325598260637592,-0.45906200934673974,0.1777042244490516,0.8331506988180317
33040100,0.03354407817518889,-0.4588852389274208,0.17853665994273754,0.8324354936859548
34040100,0.03452818279564614,-0.4587076492430506,0.1793683789836456,0.8317190409080765
35040100,0.035512139371018055,-0.4585292411216481,0.1801993803264433,0.83100134279768
36040100,0.03649594734927649,-0.45835001539270537,0.18102966272811155,0.8302824016682419
37040100,0.03747960618048008,-0.45816997288718186,0.18185922494794496,0.8295622198334205
38040100,0.03846311531677631,-0.45798911443749857,0.1826880657475519,0.8288407996069332
39040100,0.03944647421240356,-0.4578074408775325,0.1835161838908547,0.8281181433027955
40040100,0.0404296823236931,-0.45762495304261064,0.18434357814408966,0.8273942532349761
41040100,0.04141273910907107,-0.45744165176950446,0.18517024727580741,0.8266691317177466
42040100,0.042395644029060445,-0.45725753789642404,0.18599619005687273,0.825942781065309
43040100,0.043378396546283,-0.4570726122630123,0.18682140526046484,0.8252152035921184
44040100,0.0443609961254612,-0.45688687571033937,0.18764589166207746,0.8244864016126203
45040100,0.0453434422334201,-0.45670032908089675,0.18846964803951882,0.8237563774413795
46040100,0.046325734339089236,-0.45651297321859163,0.18929267317291182,0.8230251333929844
47040100,0.047307871913504454,-0.4563248089687411,0.19011496584469403,0.8222926717821754
48040100,0.048289854429809737,-0.45613583717806655,0.19093652483961768,0.8215589949236382
49040100,0.04927168136325903,-0.45594605869468774,0.1917573489447498,0.8208241051321323
50040100,0.05025335219121801,-0.4557554743681172,0.19257743694947224,0.8200880047224791
51040100,0.05123486639316584,-0.45556408504925455,0.1933967876454817,0.8193506960094673
52040100,0.052216223450696916,-0.4553718915903806,0.1942153998267896,0.8186121813078975
53040100,0.053197422847522595,-0.4551788948451517,0.19503327228972225,0.8178724629326257
54040100,0.054178464069472854,-0.4549850956685943,0.19585040383292063,0.8171315431983862
55040100,0.055159346604497984,-0.45479049491709866,0.19666679325734057,0.8163894244199462
56040100,0.05614006994267025,-0.45459509344841365,0.1974824393662527,0.8156461089121231
57040100,0.05712063357618548,-0.45439889212164086,0.19829734096524224,0.8149015989895221
58040100,0.058101036999364704,-0.4542018917972288,0.19911149686220905,0.8141558969668037
59040100,0.059081279708655725,-0.45400409333696734,0.19992490586736764,0.8134090051585886
60040100,0.06006136120263467,-0.453805497603982,0.20073756679324695,0.8126609258793077
61040100,0.06104128098200753,-0.453606105462728,0.20154947845469035,0.8119116614434128
62040100,0.062021038549611676,-0.453405917778985,0.2023606396688556,0.8111612141652546
63040100,0.06300063341041737,-0.45320493541985096,0.20317104925521456,0.8104095863589875
64040100,0.0639800650715292,-0.45300315925373685,0.20398070603555332,0.8096567803387535
65040100,0.06495933304218758,-0.45280059015036067,0.20478960883397185,0.8089027984185317
66040100,0.06593843683377011,-0.4525972289807419,0.20559775647688402,0.8081476429121826
67040100,0.06691737595979304,-0.4523930766171958,0.20640514779301744,0.8073913161334088
68040100,0.06789614993591261,-0.4521881339333277,0.20721178161341322,0.8066338203957721
69040100,0.06887475827992647,-0.4519824018040273,0.2080176567714259,0.8058751580126823
70040100,0.06985320051177493,-0.45177588110546324,0.2088227721027232,0.8051153312973297
71040100,0.07083147615354238,-0.4515685727150771,0.209627126445286,0.8043543425627856
72040100,0.07180958472945849,-0.45136047751157793,0.2104307186394079,0.8035921941219074
73040100,0.07278752576589954,-0.45115159637493657,0.2112335475276953,0.8028288882873835
74040100,0.07376529879138968,-0.45094193018637996,0.2120356119550669,0.8020644273716105
75040100,0.07474290333660212,-0.4507314798283855,0.21283691076875377,0.8012988136868764
76040100,0.07572033893436037,-0.45052024618467557,0.21363744281829894,0.8005320495451553
77040100,0.07669760511963938,-0.4503082301402115,0.21443720695555718,0.7997641372582349
78040100,0.07767470142956681,-0.45009543258118834,0.21523620203469485,0.798995079137678
79040100,0.07865162740342405,-0.44988185439502903,0.21603442691218955,0.7982248774946994
80040100,0.07962838258264739,-0.4496674964703788,0.21683188044682994,0.7974535346403775
81040100,0.08060496651082917,-0.44945235969709946,0.21762856149971535,0.7966810528854212
82040100,0.0815813787337188,-0.449236444966264,0.21842446893425566,0.7959074345402971
83040100,0.08255761879922383,-0.44901975317015086,0.21921960161617082,0.795132681915163
84040100,0.08353368625741098,-0.4488022852022382,0.22001395841349072,0.79435679731994
85040100,0.08450958066050719,-0.4485840419571985,0.22080753819655488,0.7935797830641632
86040100,0.08548530156290059,-0.4483650243308927,0.221600339838012,0.7928016414571085
87040100,0.08646084852114146,-0.44814523322036504,0.2223923622128197,0.7920223748076988
88040100,0.08743622109394318,-0.44792466952383697,0.2231836041982442,0.7912419854244926
89040100,0.08841141884218322,-0.44770333414070185,0.22397406467386002,0.7904604756158122
90040100,0.08938644132890396,-0.44748122797151935,0.22476374252154954,0.7896778476895099
91040100,0.09036128811931363,-0.44725835191800983,0.22555263662550268,0.788894103953124
92040100,0.09133595878078717,-0.44703470688304875,0.22634074587221656,0.7881092467138675
93040100,0.09231045288286707,-0.44681029377066117,0.2271280691504951,0.7873232782785343
94040100,0.0932847699972642,-0.4465851134860161,0.2279146053514486,0.786536200953515
95040100,0.09425890969785863,-0.44635916693542105,0.2287003533684935,0.7857480170448699
96040100,0.09523287156070036,-0.4461324550263164,0.22948531209735168,0.784958728858179
97040100,0.09620665516401011,-0.4459049786672698,0.2302694804360504,0.7841683386986976
98040100,0.09718026008818009,-0.4456767387679709,0.2310528572849216,0.7833768488711786
99040100,0.0981536859157747,-0.44544773623922557,0.2318354415466016,0.7825842616800004
100040100,0.09912693223153118,-0.4452179719929503,0.23261723212603072,0.7817905794291284
101040100,0.10009999862236038,-0.444987446942167,0.23339822793045273,0.7809958044220204
102040100,0.10107288467734733,-0.44475616200099716,0.23417842786941445,0.7801999389617269
103040100,0.10204558998775194,-0.4445241180846565,0.23495783085476526,0.7794029853508246
104040100,0.10301811414700958,-0.4442913161094496,0.23573643580065665,0.7786049458914054
105040100,0.10399045675073168,-0.44405775699276406,0.2365142416235418,0.7778058228851491
106040100,0.10496261739670633,-0.4438234416530653,0.23729124724217499,0.7770056186332011
107040100,0.10593459568489881,-0.4435883710098909,0.2380674515776112,0.776204335436217
108040100,0.10690639121745212,-0.44335254598384527,0.2388428535532056,0.77540197559438
109040100,0.1078780035986875,-0.443115967496594,0.23961745209461288,0.7745985414073059
110040100,0.10884943243510495,-0.4428786364708585,0.2403912461297871,0.7737940351741999
111040100,0.10982067733538366,-0.4426405538304107,0.24116423458898073,0.7729884591936224
112040100,0.11079173791038247,-0.44240172050006715,0.24193641640474442,0.7721818157637013
113040100,0.11176261377314033,-0.4421621374056841,0.24270779051192642,0.7713741071820098
114040100,0.1127333045388767,-0.4419218054741516,0.2434783558476719,0.7705653357455278
115040100,0.11370380982499191,-0.4416807256333884,0.24424811135142266,0.7697555037507421
116040100,0.11467412925106758,-0.4414388988123363,0.24501705596491616,0.7689446134934966
117040100,0.11564426243886694,-0.4411963259409548,0.24578518863218535,0.7681326672691765
118040100,0.11661420901233517,-0.44095300795021586,0.24655250829955785,0.7673196673725028
119040100,0.11758396859759969,-0.4407089457720981,0.24731901391565553,0.7665056160976601
120040100,0.1185535408229705,-0.4404641403395818,0.24808470443139377,0.765690515738231
121040100,0.1195229253189404,-0.44021859258664325,0.24884957879998099,0.7648743685871846
122040100,0.12049212171818528,-0.43997230344824945,0.24961363597691788,0.7640571769368945
123040100,0.12146112965556433,-0.43972527386035276,0.25037687491999705,0.7632389430791549
124040100,0.12242994876812023,-0.43947750475988545,0.2511392945893021,0.7624196693050872
125040100,0.1233985786950794,-0.4392289970847543,0.2519008939472074,0.7615993579052407
126040100,0.12436701907785214,-0.4389797517738355,0.25266167195837685,0.7607780111694699
127040100,0.12533526956003274,-0.4387297697669689,0.2534216275897639,0.7599556313870077
128040100,0.1263033297873997,-0.438479052004953,0.2541807598106104,0.7591322208465109
129040100,0.12727119940791573,-0.4382275994295394,0.2549390675924462,0.7583077818358541
130040100,0.12823887807172799,-0.43797541298342757,0.2556965499090886,0.7574823166423699
131040100,0.12920636543116804,-0.4377224936102595,0.2564532057366412,0.7566558275526433
132040100,0.13017366114075193,-0.4374688422546144,0.25720903405349377,0.7558283168525848
133040100,0.13114076485718026,-0.43721445986200336,0.2579640338403213,0.7549997868275032
134040100,0.13210767623933817,-0.43695934737886405,0.2587182040800832,0.7541702397619284
135040100,0.13307439494829532,-0.43670350575255545,0.25947154375802295,0.7533396779397116
136040100,0.1340409206473059,-0.4364469359313526,0.26022405186166697,0.7525081036440429
137040100,0.13500725300180863,-0.4361896388644412,0.2609757273808243,0.7516755191573575
138040100,0.13597339167942657,-0.4359316155019124,0.2617265693075857,0.7508419267614085
139040100,0.13693933634996713,-0.43567286679475764,0.2624765766363229,0.7500073287372008
140040100,0.137905086685422,-0.43541339369486326,0.26322574836368784,0.7491717273650081
141040100,0.13887064235996693,-0.4351531971550052,0.2639740834886123,0.7483351249243914
142040100,0.13983600304996166,-0.43489227812884407,0.2647215810123065,0.747497523694159
143040100,0.14080116843394974,-0.4346306375709194,0.2654682399382588,0.74665892595233
144040100,0.1417661381926584,-0.434368276436645,0.26621405927223507,0.7458193339762619
145040100,0.14273091200899826,-0.43410519568230327,0.2669590380222775,0.744978750042418
146040100,0.14369548956806322,-0.4338413962650403,0.26770317519870407,0.7441371764266351
147040100,0.14465987055713014,-0.43357687914286047,0.2684464698141079,0.7432946154038633
148040100,0.14562405466565867,-0.4333116452746214,0.2691889208833563,0.7424510692483496
149040100,0.1465880415852909,-0.4330456956200287,0.26993052742358975,0.7416065402334612
150040100,0.14755183100985111,-0.43277903113963073,0.2706712884542217,0.7407610306318975
151040100,0.14851542263534548,-0.4325116527948136,0.27141120299693716,0.7399145427154574
152040100,0.1494788161599617,-0.4322435615477958,0.2721502700756923,0.7390670787551402
153040100,0.15044201128406873,-0.43197475836162336,0.27288848871671356,0.7382186410211913
154040100,0.15140500771021634,-0.4317052442001643,0.2736258579484966,0.7373692317830076
155040100,0.15236780514313475,-0.4314350200281039,0.27436237680180575,0.7365188533091563
156040100,0.15333040328973427,-0.43116408681093926,0.27509804430967305,0.7356675078673639
157040100,0.15429280185910482,-0.43089244551497435,0.2758328595073976,0.7348151977245619
158040100,0.15525500056251557,-0.43062009710731486,0.2765668214325444,0.7339619251467931
159040100,0.1562169991134144,-0.4303470425558631,0.27729992912494367,0.7331076923992847
160040100,0.1571787972274275,-0.4300732828293129,0.27803218162669,0.7322525017463831
161040100,0.15814039462235882,-0.4297988188971446,0.27876357798214163,0.7313963554515988
162040100,0.1591017910181896,-0.4295236517296199,0.2794941172379192,0.7305392557775686
163040100,0.16006298613707784,-0.4292477822977768,0.2802237984429053,0.7296812049860736
164040100,0.1610239797033577,-0.4289712115734246,0.2809526206482433,0.7288222053380013
165040100,0.161984771443539,-0.4286939405291388,0.2816805829073366,0.7279622590933351
166040100,0.16294536108630667,-0.428415970138256,0.28240768427584784,0.7271013685112281
167040100,0.16390574836251998,-0.4281373013748691,0.2831339238116977,0.7262395358499094
168040100,0.16486593300521213,-0.4278579352138221,0.28385930057506437,0.7253767633666746
169040100,0.1658259147495895,-0.42757787263070507,0.2845838136283823,0.7245130533179861
170040100,0.166785693333031,-0.4272971146018492,0.28530746203634166,0.723648407959353
171040100,0.16774526849508745,-0.42701566210432196,0.286030244865887,0.7227828295453759
172040100,0.16870463997748084,-0.4267335161159218,0.2867521611862167,0.7219163203297094
173040100,0.16966380752410365,-0.42645067761517347,0.2874732100687819,0.721048882565164
174040100,0.17062277088101813,-0.42616714758132285,0.28819339058728544,0.7201805185035284
175040100,0.17158152979645552,-0.42588292699433217,0.28891270181768114,0.719311230395699
176040100,0.17254008402081533,-0.4255980168348749,0.28963114283817276,0.7184410204916151
177040100,0.1734984333066646,-0.425312418084331,0.2903487127292131,0.7175698910403036
178040100,0.17445657740873696,-0.4250261317247818,0.2910654105735029,0.7166978442897864
179040100,0.17541451608393205,-0.4247391587390053,0.29178123545599005,0.7158248824871818
180040100,0.17637224909131444,-0.42445150011047095,0.29249618646386866,0.714951007878611
181040100,0.177329776192113,-0.4241631568233351,0.2932102626865779,0.714076222709272
182040100,0.17828709714971988,-0.4238741298624359,0.2939234632158012,0.7132005292232907
183040100,0.17924421172968974,-0.42358442021328846,0.2946357871454652,0.7123239296639615
184040100,0.18020111969973876,-0.42329402886208006,0.29534723357173864,0.7114464262734594
185040100,0.18115782082974383,-0.4230029567956652,0.29605780159303174,0.7105680212930807
186040100,0.1821143148917415,-0.42271120500156073,0.2967674903099948,0.7096887169630666
187040100,0.1830706016599272,-0.4224187744679412,0.2974762988255174,0.7088085155226762
188040100,0.18402668091065402,-0.4221256661836338,0.29818422624472757,0.7079274192101781
189040100,0.184982552422432,-0.42183188113811365,0.2988912716749904,0.7070454302628398
190040100,0.18593821597592697,-0.421537420321499,0.29959743422590734,0.7061625509169185
191040100,0.1868936713539596,-0.4212422847245464,0.300302713009315,0.7052787834076237
192040100,0.1878489183415043,-0.42094647533864593,0.30100710713928414,0.704394129969163
193040100,0.18880395672568825,-0.42064999315581647,0.3017106157321189,0.7035085928347606
194040100,0.1897587862957903,-0.4203528391687008,0.30241323790635544,0.7026221742365645
195040100,0.19071340684323987,-0.4200550143705609,0.30311497278276117,0.7017348764057201
196040100,0.19166781816161593,-0.41975651975527334,0.30381581948433345,0.7008467015723052
197040100,0.19262202004664578,-0.4194573563173243,0.3045157771362988,0.6999576519653484
198040100,0.19357601229620397,-0.41915752505180504,0.30521484486611167,0.699067729812903
199040100,0.19452979471031118,-0.4188570269544071,0.3059130218034536,0.6981769373418987
200040100,0.195483367091133,-0.41855586302141745,0.30661030708023185,0.697285276778271
201040100,0.19643672924297884,-0.4182540342497142,0.3073066998305787,0.6963927503468129
202040100,0.1973898809723006,-0.41795154163676146,0.30800219919085,0.6954993602713048
203040100,0.19834282208769155,-0.41764838618060496,0.3086968042996245,0.6946051087745043
204040100,0.1992955523998851,-0.4173445688798672,0.3093905142977026,0.6937099980780271
205040100,0.20024807172175357,-0.417040090733743,0.310083328328105,0.6928140304024476
206040100,0.20120037986830686,-0.41673495274199457,0.3107752455360722,0.6919172079672345
207040100,0.2021524766566912,-0.41642915590494717,0.31146626506906305,0.6910195329908251
208040100,0.20310436190618794,-0.41612270122348427,0.31215638607675356,0.6901210076905046
209040100,0.20405603543821213,-0.41581558969904303,0.3128456077110361,0.6892216342825082
210040100,0.20500749707631125,-0.4155078223336097,0.313533929126018,0.6883214149819562
211040100,0.20595874664616384,-0.41519940012971507,0.3142213494780209,0.6874203520028729
212040100,0.20690978397557824,-0.41489032409042975,0.31490786792557907,0.6865184475582047
213040100,0.2078606088944911,-0.4145805952193597,0.31559348362943884,0.685615703859756
214040100,0.20881122123496607,-0.4142702145206416,0.3162781957525571,0.6847121231182631
215040100,0.20976162083119232,-0.41395918299893847,0.3169620034601004,0.6838077075432739
216040100,0.21071180751948324,-0.4136475016594349,0.31764490591944367,0.6829024593432779
217040100,0.2116617811382749,-0.4133351715078327,0.31832690230016936,0.6819963807256415
218040100,0.2126115415281247,-0.4130221935503463,0.31900799177406597,0.6810894738965992
219040100,0.2135610885317098,-0.4127085687936982,0.3196881735151272,0.6801817410612165
220040100,0.2145104219938257,-0.4123942982451146,0.3203674466995507,0.6792731844234923
221040100,0.21545954176138477,-0.41207938291232077,0.32104581050573694,0.6783638061862384
222040100,0.2164084476834147,-0.41176382380353677,0.3217232641142881,0.6774536085511264
223040100,0.21735713961105696,-0.41144762192747275,0.32239980670800683,0.6765425937187345
224040100,0.21830561739756535,-0.4111307782933247,0.32307543747189527,0.6756307638884551
225040100,0.21925388089830433,-0.4108132939107698,0.3237501555931538,0.6747181212585136
226040100,0.22020192997074756,-0.41049516978996237,0.3244239602611798,0.6738046680260151
227040100,0.22114976447447623,-0.4101764069415289,0.32509685066756666,0.6728904063869079
228040100,0.22209738427117753,-0.40985700637656414,0.32576882600610263,0.6719753385359747
229040100,0.22304478922464294,-0.4095369691066264,0.3264398854727694,0.6710594666667957
230040100,0.22399197920076672,-0.40921629614373334,0.32711002826574126,0.6701427929718518
231040100,0.2249389540675442,-0.4088949885003574,0.3277792535853837,0.6692253196424033
232040100,0.2258857136950701,-0.40857304718942167,0.32844756063425223,0.6683070488685662
233040100,0.22683225795553694,-0.4082504732242954,0.32911494861709145,0.6673879828392185
234040100,0.22777858672323328,-0.4079272676187897,0.32978141674083367,0.6664681237421873
235040100,0.22872469987454205,-0.40760343138715316,0.3304469642145977,0.6655474737639895
236040100,0.22967059728793882,-0.4072789655440675,0.3311115902496877,0.6646260350900176
237040100,0.23061627884399008,-0.4069538711046434,0.33177529405959216,0.6637038099044478
238040100,0.23156174442535152,-0.40662814908441625,0.33243807485998245,0.662780800390287
239040100,0.23250699391676619,-0.4063018004993415,0.3330999318687118,0.6618570087293364
240040100,0.23345202720506283,-0.4059748263657908,0.33376086430581403,0.6609324371022389
241040100,0.23439684417915402,-0.4056472277005475,0.3344208713935024,0.6600070876883588
242040100,0.23534144473003438,-0.4053190055208025,0.33507995235616833,0.6590809626659124
243040100,0.23628582875077878,-0.40499016084415007,0.3357381064203802,0.6581540642119041
244040100,0.23722999613654047,-0.40466069468858334,0.3363953328148823,0.6572263945021181
245040100,0.2381739467845493,-0.40433060807249044,0.33705163077059347,0.6562979557111649
246040100,0.23911768059410984,-0.40399990201465,0.33770699952060584,0.6553687500123625
247040100,0.24006119746659946,-0.40366857753422725,0.3383614383001837,0.6544387795778942
248040100,0.24100449730546647,-0.4033366356507695,0.3390149463467624,0.6535080465786614
249040100,0.24194758001622826,-0.40300407738420224,0.3396675228999468,0.6525765531843863
250040100,0.24289044550646935,-0.4026709037548249,0.34031916720151034,0.6516443015635486
251040100,0.24383309368583944,-0.40233711578330666,0.34096987849539373,0.6507112938834038
252040100,0.24477552446605155,-0.40200271449068237,0.3416196560277037,0.6497775323099761
253040100,0.24571773776088,-0.40166770089834836,0.3422684990467118,0.6488430190080774
254040100,0.2466597334861584,-0.40133207602805837,0.34291640680285307,0.6479077561412435
255040100,0.24760151155977786,-0.4009958409019195,0.3435633785487249,0.6469717458718091
256040100,0.24854307190168473,-0.40065899654238796,0.34420941353908574,0.6460349903608443
257040100,0.2494844144338788,-0.4003215439722652,0.34485451103085396,0.6450974917682019
258040100,0.2504255390804112,-0.39998348421469376,0.3454986702831064,0.6441592522524814
259040100,0.2513664457673823,-0.39964481829315307,0.3461418905570774,0.6432202739710211
260040100,0.2523071344229399,-0.39930554723145567,0.34678417111615734,0.6422805590799452
261040100,0.2532476049772768,-0.39896567205374295,0.34742551122589144,0.6413401097340725
262040100,0.254187857362629,-0.3986251937844813,0.3480659101539785,0.6403989280870476
263040100,0.25512789151327364,-0.398284113448458,0.3487053671702696,0.6394570162911657
264040100,0.25606770736552675,-0.39794243207077723,0.34934388154676715,0.6385143764975594
265040100,0.2570073048577411,-0.3976001506768562,0.3499814525576232,0.6375710108560236
266040100,0.25794668393030423,-0.397257270292421,0.35061807947913837,0.6366269215151471
267040100,0.25888584452563623,-0.39691379194350274,0.3512537615897607,0.6356821106222484
268040100,0.25982478658818764,-0.3965697166564336,0.351888498170084,0.6347365803233128
269040100,0.2607635100644372,-0.39622504545784293,0.3525222885028471,0.6337903327631228
270040100,0.26170201490288975,-0.3958797793746532,0.35315513187293235,0.6328433700852231
271040100,0.262640301054074,-0.39553391943407623,0.3537870275673642,0.6318956944318289
272040100,0.2635783684705403,-0.3951874666636092,0.35441797487530796,0.6309473079438463
273040100,0.26451621710685846,-0.3948404220910309,0.355047973088069,0.629998212761031
274040100,0.26545384691961565,-0.3944927867443975,0.35567702149909075,0.6290484110217297
275040100,0.2663912578674139,-0.39414456165203915,0.3563051194039539,0.6280979048631241
276040100,0.26732844991086807,-0.39379574784255583,0.3569322661003749,0.6271466964209994
277040100,0.26826542301260337,-0.39344634634481357,0.35755846088820487,0.6261947878299872
278040100,0.2692021771372533,-0.39309635818794064,0.35818370306942815,0.6252421812233078
279040100,0.2701387122514573,-0.39274578440132374,0.35880799194816115,0.6242888787329846
280040100,0.2710750283238584,-0.39239462601460423,0.3594313268306509,0.6233348824897258
281040100,0.2720111253251008,-0.3920428840576742,0.36005370702527384,0.6223801946229438
282040100,0.27294700322782783,-0.39169055956067284,0.3606751318425346,0.621424817260804
283040100,0.2738826620066794,-0.3913376535539826,0.36129560059506466,0.6204687525300777
284040100,0.27481810163828957,-0.3909841670682254,0.36191511259762105,0.619512002556385
285040100,0.27575332210128456,-0.39063010113425906,0.3625336671670849,0.6185545694639091
286040100,0.2766883233762799,-0.39027545678317327,0.36315126362246053,0.617596455375639
287040100,0.2776231054458784,-0.38992023504628615,0.36376790128487374,0.6166376624132235
288040100,0.27855766829466766,-0.3895644369551404,0.3643835794775708,0.6156781926970185
289040100,0.2794920119092175,-0.38920806354149967,0.36499829752591684,0.6147180483460805
290040100,0.2804261362780778,-0.3888511158373448,0.36561205475739494,0.6137572314781861
291040100,0.28136004139177573,-0.3884935948748701,0.3662248505016047,0.612795744209742
292040100,0.28229372724281376,-0.38813550168648,0.36683668409026066,0.6118335886559442
293040100,0.2832271938256668,-0.38777683730478496,0.36744755485719127,0.6108707669306033
294040100,0.2841604411367799,-0.3874176027625982,0.3680574621383375,0.6099072811462491
295040100,0.2850934691745658,-0.38705779909293175,0.36866640527175165,0.6089431334141511
296040100,0.28602627793940233,-0.38669742732899326,0.3692743835975958,0.6079783258441718
297040100,0.28695886743363,-0.38633648850418206,0.3698813964581407,0.6070128605449263
298040100,0.28789123766154956,-0.3859749836520856,0.37048744319776444,0.6060467396237479
299040100,0.28882338862941914,-0.385612913806476,0.37109252316295105,0.6050799651866245
300040100,0.28975532034545215,-0.38525028000130646,0.3716966357022892,0.6041125393381644
301040100,0.29068703281981445,-0.38488708327070764,0.372299780166471,0.6031444641817553
302040100,0.2916185260646219,-0.3845233246489842,0.3729019559082904,0.6021757418194461
303040100,0.2925498000939377,-0.38415900517061125,0.37350316228264235,0.6012063743519402
304040100,0.2934808549237699,-0.3837941258702308,0.3741033986465209,0.600236363878644
305040100,0.29441169057206884,-0.3834286877826483,0.37470266435901856,0.5992657124976591
306040100,0.2953423070587244,-0.3830626919428292,0.3753009587813243,0.5982944223057488
307040100,0.29627270440556347,-0.38269613938589525,0.37589828127672265,0.5973224953983295
308040100,0.2972028826363474,-0.38232903114712136,0.3764946312105923,0.5963499338695764
309040100,0.29813284177676924,-0.38196136826193183,0.37709000795040454,0.5953767398122207
310040100,0.29906258185445117,-0.3815931517658972,0.37768441086572235,0.5944029153178222
311040100,0.2999921028989418,-0.38122438269473063,0.3782778393281988,0.5934284624764548
312040100,0.30092140494171354,-0.38085506208428455,0.3788702927115758,0.5924533833770066
313040100,0.3018504880161599,-0.38048519097054717,0.3794617703916828,0.5914776801069783
314040100,0.3027793521575928,-0.3801147703896393,0.3800522717464353,0.590501354752532
315040100,0.30370799740323984,-0.3797438013778107,0.3806417961558338,0.5895244093985115
316040100,0.30463642379224176,-0.379372284971437,0.3812303430019623,0.5885468461284921
317040100,0.30556463136564943,-0.37900022220701596,0.3818179116689869,0.5875686670246064
318040100,0.30649262016642137,-0.3786276141211646,0.3824045015431547,0.586589874167788
319040100,0.3074203902394209,-0.3782544617506155,0.38299011201279215,0.5856104696375145
320040100,0.30834794163141344,-0.37788076613221366,0.38357474246830425,0.5846304555120513
