time_ns,x,y,theta,omega,lateral_error
100,0.0,0.0,0.0,0.0,0.0
1000100,0.0,0.5,0.1,0.0,0.5
2000100,0.000995004165278026,0.5000003330007758,0.09999999999999999,-3.0,0.5000003330007758
3000100,0.001990008330556052,0.500000666005492,0.09699999999999999,-2.500534665846322,0.500000666005492
4000100,0.0029853075181193824,0.49999798405859713,0.09449946533415365,-2.5006363349433967,0.49999798405859713
5000100,0.003980845765471222,0.49999278913725326,0.09199882899921026,-2.497707973194754,0.49999278913725326
6000100,0.004976616857179337,0.49998508117572577,0.08950112102601551,-2.4952690226968306,0.49998508117572577
7000100,0.005972614304771408,0.49997486316899065,0.08700585200331869,-2.492817439721812,0.49997486316899065
8000100,0.006968831682743276,0.49996213763567854,0.08451303456359688,-2.490356299453144,0.49996213763567854
9000100,0.00796526258134149,0.49994690712252193,0.08202267826414374,-2.487885137637121,0.49994690712252193
10000100,0.00896190060696934,0.49992917420117167,0.07953479312650662,-2.485403994608265,0.49992917420117167
11000100,0.009958739382272912,0.4999089414685689,0.07704938913189835,-2.4829129076426932,0.4999089414685689
12000100,0.010955772546271173,0.49988621154681007,0.07456647622425566,-2.480411914515474,0.49988621154681007
13000100,0.011952993754484716,0.49986098708301396,0.0720860643097402,-2.4779010529929195,0.49986098708301396
14000100,0.012950396679063513,0.49983327074918865,0.06960816325674728,-2.475380360834088,0.49983327074918865
15000100,0.013947975008913595,0.49980306524209706,0.06713278289591319,-2.4728498757899025,0.49980306524209706
16000100,0.014945722449822677,0.49977037328312274,0.0646599330201233,-2.470309635601208,0.49977037328312274
17000100,0.015943632724584718,0.4997351976181352,0.06218962338452209,-2.4677596779982713,0.4997351976181352
18000100,0.016941699573123407,0.4996975410173542,0.059721863706523826,-2.465200040699612,0.4996975410173542
19000100,0.017939916752614606,0.49965740627521454,0.057256663665824215,-2.4626307614104963,0.49965740627521454
20000100,0.018938278037607698,0.49961479621022964,0.054794032904413724,-2.4600518778223783,0.49961479621022964
21000100,0.019936777220145894,0.49956971366485525,0.05233398102659134,-2.4574634276114433,0.49956971366485525
22000100,0.020935408109885444,0.4995221615053528,0.049876517598979896,-2.4548654484378227,0.4995221615053528
23000100,0.021934164534213794,0.49947214262165174,0.047421652150542074,-2.452257977944525,0.49947214262165174
24000100,0.02293304033836667,0.4994196599272126,0.04496939417259754,-2.4496410537559754,0.4994196599272126
25000100,0.023932029385544083,0.4993647163588886,0.042519753118841576,-2.447014713477669,0.4993647163588886
26000100,0.024931125557025265,0.49930731487678764,0.040072738405363906,-2.444378994694486,0.49930731487678764
27000100,0.025930322752282523,0.49924745846413365,0.03762835941066942,-2.441733934969946,0.49924745846413365
28000100,0.026929614889094036,0.49918515012712794,0.03518662547569948,-2.439079571845361,0.49918515012712794
29000100,0.027928995903655558,0.4991203928948097,0.03274754590385412,-2.4364159428386367,0.4991203928948097
30000100,0.028928459750691048,0.4990531898189168,0.030311129961015478,-2.4337430854430897,0.4990531898189168
31000100,0.02992800040356223,0.4989835439737456,0.02787738687557239,-2.4310610371269172,0.4989835439737456
32000100,0.030927611854377077,0.4989114584560116,0.025446325838445468,-2.4283698353316128,0.4989114584560116
33000100,0.03192728811409721,0.4988369363847083,0.023017956003113856,-2.425669517471774,0.4988369363847083
34000100,0.03292702321264422,0.498759980900967,0.02059228648564208,-2.4229601209332383,0.498759980900967
35000100,0.033926811199004925,0.4986805951679162,0.018169326364708843,-2.420241683072771,0.4986805951679162
36000100,0.034926646141335525,0.49859878237053984,0.01574908468163607,-2.41751424121698,0.49859878237053984
37000100,0.035926522127064715,0.4985145457155366,0.013331570440419093,-2.414777832661056,0.4985145457155366
38000100,0.03692643326299568,0.498427888431178,0.010916792607758038,-2.412032494668295,0.498427888431178
39000100,0.03792637367540705,0.49833881376716666,0.008504760113089743,-2.4092782644688397,0.49833881376716666
40000100,0.038926337510152745,0.4982473249944943,0.0060954818486209025,-2.4065151792587507,0.4982473249944943
41000100,0.03992631893276078,0.49815342540529955,0.0036889666693621518,-2.4037432761994126,0.49815342540529955
42000100,0.040926312128530956,0.49805711831272564,0.0012852233931627392,-2.400962592416106,0.49805711831272564
43000100,0.04192631130263148,0.4979584070507777,-0.001115739199253367,-2.3981731649977456,0.4979584070507777
44000100,0.04292631068019457,0.4978572949741802,-0.003513912364251112,-2.39537503099539,0.4978572949741802
45000100,0.04392630450641087,0.49775378545823373,-0.005909287395246501,-2.392568227421813,0.49775378545823373
46000100,0.044926287046622916,0.4976478818986722,-0.008301855622668315,-2.389752791250239,0.4976478818986722
47000100,0.04592625258641744,0.4975395877115195,-0.010691608413918554,-2.3869287594137387,0.4975395877115195
48000100,0.04692619543171666,0.49742890633294623,-0.013078537173332292,-2.384096168804353,0.49742890633294623
49000100,0.04792610990886842,0.49731584121912586,-0.015462633342136645,-2.3812550562721593,0.49731584121912586
50000100,0.048925990364735356,0.4972003958460916,-0.017843888398408805,-2.378405458624221,0.4972003958460916
51000100,0.049925831166782945,0.49708257370959225,-0.020222293857033027,-2.3755474126243223,0.49708257370959225
52000100,0.050925626703166464,0.49696237832494866,-0.02259784126965735,-2.3726809549914725,0.49696237832494866
53000100,0.05192537138281693,0.4968398132269097,-0.024970522224648822,-2.3698061223996922,0.4968398132269097
54000100,0.05292505963552592,0.4967148819695079,-0.027340328347048515,-2.366922951476742,0.4967148819695079
55000100,0.05392468591202939,0.49658758812591597,-0.029707251298525257,-2.3640314788033505,0.49658758812591597
56000100,0.054924244684090365,0.4964579352883019,-0.03207128277732861,-2.3611317409128305,0.4964579352883019
57000100,0.05592373044458063,0.4963259270676853,-0.034432414518241444,-2.3582237742896957,0.4963259270676853
58000100,0.0569231377075613,0.4961915670937927,-0.03679063829253114,-2.3553076153694983,0.4961915670937927
59000100,0.05792246100836239,0.49605485901491336,-0.03914594590790064,-2.3523833005374453,0.49605485901491336
60000100,0.05892169490366127,0.49591580649775474,-0.04149832920843808,-2.3494508661281244,0.49591580649775474
61000100,0.0599208339715601,0.4957744132272981,-0.0438477800745662,-2.3465103484243417,0.4957744132272981
62000100,0.06091987281166224,0.4956306829066543,-0.046194290422990544,-2.3435617836566793,0.4956306829066543
63000100,0.061918806045147504,0.4954846192569188,-0.048537852206647226,-2.3406052080028905,0.4954846192569188
64000100,0.0629176283148465,0.4953362260170275,-0.05087845741465012,-2.3376406575863453,0.4953362260170275
65000100,0.0639163342853138,0.4951855069436123,-0.05321609807223647,-2.3346681684763113,0.4951855069436123
66000100,0.06491491864290018,0.49503246581085647,-0.055550766240712784,-2.3316877766867377,0.49503246581085647
67000100,0.06591337609582368,0.49487710641035004,-0.05788245401739952,-2.3286995181754784,0.49487710641035004
68000100,0.06691170137423974,0.4947194325509455,-0.060211153535575,-2.3257034288436276,0.4947194325509455
69000100,0.06790988923031027,0.49455944805861357,-0.06253685696441863,-2.3226995445350256,0.49455944805861357
70000100,0.06890793443827162,0.49439715677629836,-0.06485955650895366,-2.3196879010355396,0.49439715677629836
