time_ns,x,y,theta,omega,y_ref,error
40100,0.000995004165278026,0.500092333766425,0.09999999999999999,0.0,0.0,0.500092333766425
1040100,0.001990008330556052,0.500222394692639,0.09699999999999999,-3.0,9.950041587107777e-05,0.5001228942767679
2040100,0.0029853075181193824,0.5003994212892349,0.09600359765802191,-0.9964023419780802,0.00019900082780180658,0.5002004204614331
3040100,0.003980702711125038,0.5004944276800616,0.09498827061315061,-1.0153270448712943,0.00029853073407511014,0.5001958969459864
4040100,0.004976194716428231,0.5005830839743269,0.09394932048687901,-1.0389501262715852,0.0003980702290603775,0.5001850137452666
5040100,0.00597178472417409,0.5007037342250205,0.09295139432405626,-0.9979261628227583,0.0004976193894941001,0.5002061148355263
6040100,0.006967467852797482,0.5008642068593399,0.0919566698279708,-0.994724496085466,0.0005971783304393808,0.5002670285289005
7040100,0.007963242816746091,0.5009914575713681,0.0909459110613075,-1.01075876666329,0.00069674655978646,0.5002947110115816
8040100,0.00895911008709371,0.5011245963992025,0.08991512393822225,-1.0307871230852599,0.0007963239450246536,0.5003282724541779
9040100,0.009955070445055595,0.5011701668246705,0.08890089700757452,-1.0142269306477374,0.0008959105293035637,0.5002742562953669
10040100,0.010951121362261049,0.501223135992955,0.087883663514057,-1.017233493517493,0.0009955063867846214,0.5002276296061704
11040100,0.011947262078008407,0.5012376627458868,0.08691032690918771,-0.9733366048693026,0.001095111260669129,0.5001425514852177
12040100,0.012943487752195127,0.5013884252221962,0.08593338871252315,-0.9769381966645518,0.001194725070923034,0.5001937001512732
13040100,0.013939797750135548,0.5015435995391141,0.08497584636583429,-0.9575423466888622,0.0012943473295715562,0.5002492522095425
14040100,0.014936189474934764,0.501652600890701,0.08395008810121862,-1.0257582646156687,0.00139397796917887,0.5002586229215221
15040100,0.015932667735340442,0.5017928745561456,0.08292201701942344,-1.0280710817951921,0.0014936167260872235,0.5002992578300584
16040100,0.016929231674444583,0.501860517908827,0.081917017753755,-1.0049992656684426,0.0015932640771979935,0.5002672538316291
17040100,0.017925878351352734,0.5019488733026836,0.08089630537563013,-1.020712378124891,0.0016929199328470303,0.5002559533698365
18040100,0.018922608029298207,0.5021035556553756,0.07991197643116202,-0.9843289444681134,0.0017925839949710564,0.5003109716604045
19040100,0.019919416766115697,0.5022179932758548,0.07891731818668034,-0.9946582444816827,0.001892256285916099,0.5003257369899388
20040100,0.020916304410361814,0.5023254509354765,0.07788939055706791,-1.0279276296124282,0.0019919364074896077,0.5003335145279869
21040100,0.021913272565035315,0.5024144637000307,0.07688155969387835,-1.0078308631895658,0.0020916243405672123,0.5003228393594635
22040100,0.022910318633356876,0.5024023511323261,0.07587720717741646,-1.0043525164618932,0.002191320241465241,0.5002110308908608
23040100,0.02390744133893589,0.5024590208192734,0.07488210245867127,-0.9951047187451849,0.0022910238465241707,0.5001679969727493
24040100,0.02490463898414596,0.502574021179356,0.0739377878904814,-0.9443145681898755,0.0023907350241208877,0.5001832861552351
25040100,0.025901906830924318,0.5026512285350878,0.07295917206421586,-0.9786158262655615,0.0024904536005078658,0.50016077493458
26040100,0.026899246490935842,0.5028332474734388,0.07195136403721031,-1.0078080270055452,0.0025901790978968796,0.500243068375542
27040100,0.02789665910807126,0.5028700840678116,0.07096250100916453,-0.9888630280457755,0.0026899116734634913,0.5001801723943482
28040100,0.028894142326204113,0.503012119061913,0.06992107115617238,-1.041429852992151,0.0027896514376041974,0.5002224676243088
29040100,0.02989169884385821,0.5030812179534856,0.06895236187579595,-0.9687092803764246,0.00288939815071739,0.5001918198027682
30040100,0.03088932257146265,0.5031253963728141,0.06793097229347947,-1.0213895823164805,0.0029891520786568203,0.5001362442941573
