time_ns,x,y,theta,omega
40100,0.0009905753530666474,-0.45289464066987495,0.13740078782446302,0.0
1040100,0.0019811507061332947,-0.4528230469606803,0.14040078782446302,3.0
2040100,0.0029713106956364595,-0.4531128260990659,0.14135711792303027,0.956330098567234
3040100,0.003961336403570858,-0.4531149851110234,0.14222710301349709,0.8699850904668268
4040100,0.004951239167420635,-0.45313126326019665,0.1432783993973134,1.0512963838163074
5040100,0.005940992365022033,-0.4532143056820896,0.1441859353474381,0.9075359501246942
6040100,0.00693061556918764,-0.45278448846393665,0.14510060873559535,0.9146733881572534
7040100,0.007920106932851455,-0.4528855677168761,0.1460488756663868,0.9482669307914461
8040100,0.008909460739860594,-0.45251871049903614,0.14673989842116786,0.6910227547810457
9040100,0.009898713745970733,-0.4520276389008256,0.14769661685855776,0.9567184373898915
10040100,0.010887826413879578,-0.45183360933532424,0.14841867859799332,0.7220617394355526
11040100,0.011876832565185255,-0.4514521466582741,0.14907769620681105,0.6590176088177317
12040100,0.01286574104991198,-0.4511875269870095,0.14988489195621332,0.8071957494022595
13040100,0.01385452932282854,-0.4508923311408682,0.15059765336970177,0.7127614134884326
14040100,0.014843210911977121,-0.4508160910711195,0.15136835216549313,0.7706987957913602
15040100,0.015831776580303564,-0.45094657411294903,0.152123217571387,0.7548654058938552
16040100,0.01682022814009399,-0.450678416493412,0.15298745346694678,0.8642358955597559
17040100,0.017808548366899705,-0.450494891835267,0.15395535697903673,0.9679035120899595
18040100,0.018796720630639824,-0.4502227542010691,0.154723448913046,0.7680919340092456
19040100,0.019784774817615973,-0.44989886328959794,0.15553353532792416,0.8100864148781366
20040100,0.02077270384053357,-0.44986238235352083,0.15629881600178291,0.7652806738587422
21040100,0.021760514026671295,-0.4499071815544793,0.1570376172450684,0.7388012432854772
22040100,0.022748208939056658,-0.4495781246825419,0.157920095500417,0.8824782553485881
23040100,0.023735765453474982,-0.4496875196145231,0.15884334841340345,0.9232529129864437
24040100,0.024723176352088545,-0.44950038537243764,0.15957906013401055,0.7357117206071063
25040100,0.02571047061138315,-0.4493694715220519,0.16053426151519287,0.9552013811823324
